,0
799,B
800,B
801,A
802,A
803,B
804,A
805,A
806,B
807,A
808,A
809,B
810,A
811,A
812,B
813,B
814,B
815,B
816,B
817,A
818,A
819,B
820,A
821,B
822,B
823,A
824,A
825,A
826,B
827,A
828,B
829,A
830,A
831,B
832,A
833,B
834,B
835,B
836,A
837,A
838,B
839,A
840,B
841,B
842,A
843,A
844,B
845,B
846,A
847,A
848,B
849,A
850,A
851,B
852,B
853,A
854,B
855,A
856,B
857,A
858,A
859,A
860,B
861,B
862,B
863,B
864,A
865,A
866,A
867,A
868,A
869,A
870,B
871,B
872,B
873,A
874,B
875,A
876,A
877,A
878,B
879,A
880,A
881,A
882,A
883,A
884,A
885,B
886,A
887,B
888,B
889,B
890,A
891,B
892,A
893,B
894,B
895,B
896,A
897,B
898,B
899,A
900,B
901,A
902,B
903,A
904,A
905,A
906,A
907,A
908,A
909,A
910,B
911,A
912,B
913,A
914,B
915,A
916,A
917,A
918,A
919,A
920,A
921,B
922,A
923,B
924,A
925,A
926,B
927,B
928,A
929,A
930,B
931,B
932,A
933,B
934,A
935,A
936,B
937,A
938,B
939,A
940,A
941,A
942,A
943,A
944,B
945,A
946,B
947,A
948,B
949,A
950,A
951,A
952,A
953,A
954,A
955,B
956,A
957,B
958,B
959,A
960,A
961,A
962,A
963,B
964,A
965,B
966,B
967,A
968,A
969,A
970,A
971,B
972,A
973,A
974,A
975,B
976,A
977,B
978,B
979,B
980,A
981,A
982,A
983,A
984,A
985,A
986,B
987,B
988,A
989,B
990,B
991,B
992,A
993,A
994,B
995,B
996,A
997,B
998,B
999,B
